dataset,series,rows,start,end,missing,missing_rate,train_missing,evaluation_missing,negative_measurements,regular_grid
beijing,Aotizhongxin,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,37,0.004223744292237443,6,27,0,True
beijing,Changping,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,75,0.008561643835616438,31,42,0,True
beijing,Dingling,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,209,0.023858447488584476,89,76,0,True
beijing,Dongsi,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,174,0.01986301369863014,113,32,0,True
beijing,Guanyuan,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,138,0.015753424657534248,97,37,0,True
beijing,Gucheng,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,180,0.02054794520547945,129,44,0,True
beijing,Huairou,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,334,0.03812785388127854,255,75,0,True
beijing,Nongzhanguan,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,67,0.007648401826484018,33,29,0,True
beijing,Shunyi,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,307,0.03504566210045662,259,47,0,True
beijing,Tiantan,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,78,0.008904109589041096,11,61,0,True
beijing,Wanliu,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,49,0.005593607305936073,13,32,0,True
beijing,Wanshouxigong,8760,2013-03-01 00:00:00,2014-02-28 23:00:00,105,0.011986301369863013,31,65,0,True
household,household,129600,2006-12-16 17:24:00,2007-03-16 17:23:00,8,6.17283950617284e-05,6,2,0,True
