dataset,series,rows,start,end,missing,missing_rate,train_missing,evaluation_missing,negative_measurements,regular_grid
beijing,Aotizhongxin,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,530,0.030251141552511414,10,493,0,True
beijing,Changping,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,338,0.019292237442922376,33,263,0,True
beijing,Dingling,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,369,0.02106164383561644,133,160,0,True
beijing,Dongsi,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,260,0.014840182648401826,142,86,0,True
beijing,Guanyuan,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,322,0.018378995433789954,101,184,0,True
beijing,Gucheng,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,320,0.0182648401826484,136,140,0,True
beijing,Huairou,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,638,0.03641552511415525,259,304,0,True
beijing,Nongzhanguan,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,239,0.013641552511415526,38,172,0,True
beijing,Shunyi,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,471,0.026883561643835617,260,164,0,True
beijing,Tiantan,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,386,0.022031963470319636,17,308,0,True
beijing,Wanliu,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,121,0.006906392694063927,17,72,0,True
beijing,Wanshouxigong,17520,2013-03-01 00:00:00,2015-02-28 23:00:00,257,0.014668949771689498,40,152,0,True
household,household,809676,2006-12-16 17:24:00,2008-06-30 23:59:00,3943,0.0048698491742375965,3732,168,0,True
