model,seed,epoch,lr,training_mse,optimizer_steps,selection_rmse,log_scope,frozen_fit_mse
FIXED_PRODUCT,20260915,0,0.0,1.0000000002489875,0,0.08347688126069083,epoch0 fixed parameters,1.0000000002489875
FIXED_PRODUCT,20260915,1,0.001,0.9676668833285226,37,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,2,0.0009985407886603944,0.9226167081708827,74,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,3,0.0009941726181870608,0.9066565122956429,111,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,4,0.0009869238178417234,0.8964034030103372,148,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,5,0.0009768413988762155,0.8874703132421672,185,0.08251806047375695,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,6,0.000963990749646471,0.8788704274224812,222,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,7,0.0009484552115439444,0.8718041735307747,259,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,8,0.0009303355384947077,0.8658836106932305,296,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,9,0.0009097492435315756,0.860785355940748,333,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,10,0.0008868298366769955,0.8568024215314249,370,0.08267759911697775,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,11,0.0008617259590793198,0.8528458200434275,407,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,12,0.0008346004190179199,0.8488955645231512,444,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,13,0.0008056291360290202,0.8449748765749686,481,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,14,0.0007750000000000001,0.8422536071512781,518,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,15,0.0007429116526313744,0.8398811677303343,555,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,16,0.0007095721991691411,0.8371293587786817,592,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,17,0.0006751978587624037,0.8353494637990025,629,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,18,0.00064001156219922,0.8335504264634358,666,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,19,0.0006042415061148954,0.8314356573358884,703,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,20,0.0005681196730492369,0.8297242271790408,740,0.08261609323225134,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,21,0.0005318803269507632,0.8287152648299418,777,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,22,0.0004957584938851046,0.8269018129745201,814,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,23,0.00045998843780078015,0.825807452260919,851,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,24,0.0004248021412375964,0.8246036193000797,888,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,25,0.00039042780083085903,0.8232898462591071,925,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,26,0.00035708834736862554,0.8223141034476106,962,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,27,0.0003249999999999999,0.8213615738082207,999,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,28,0.00029437086397097995,0.8205923143024723,1036,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,29,0.0002653995809820803,0.8200435279103434,1073,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,30,0.00023827404092068027,0.8193321716851293,1110,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,31,0.0002131701633230046,0.8186728931942239,1147,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,32,0.00019025075646842457,0.8184200356798158,1184,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,33,0.00016966446150529243,0.8177984580765333,1221,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,34,0.00015154478845605558,0.8174195603655348,1258,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,35,0.00013600925035352912,0.8171167337748746,1295,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,36,0.00012315860112378454,0.8167523451891653,1332,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,37,0.0001130761821582766,0.8164214455105443,1369,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,38,0.00010582738181293922,0.8162347297841692,1406,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,39,0.00010145921133960553,0.816032161231658,1443,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260915,40,0.0001,0.8158597403831584,1480,0.08236418945083794,during-traversal weighted batch means; frozen_fit_mse only at0/40,0.8153331923696905
FIXED_PRODUCT,20260916,0,0.0,1.0000000002489875,0,0.08347688126069083,epoch0 fixed parameters,1.0000000002489875
FIXED_PRODUCT,20260916,1,0.001,0.9635894099512073,37,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,2,0.0009985407886603944,0.9180119197104777,74,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,3,0.0009941726181870608,0.9042013595967602,111,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,4,0.0009869238178417234,0.895129115460966,148,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,5,0.0009768413988762155,0.887386437903771,185,0.08242174131886441,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,6,0.000963990749646471,0.8807990977226461,222,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,7,0.0009484552115439444,0.8744147625209777,259,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,8,0.0009303355384947077,0.8696159624522523,296,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
FIXED_PRODUCT,20260916,9,0.0009097492435315756,0.8644841869320878,333,,during-traversal weighted batch means; frozen_fit_mse only at0/40,
