phase,dataset,series,K,L,scope,origin_start,N,component,first_origin,last_origin,labels,unknowns,status,patterns,closure_operation,pattern_a,pattern_b,unreachable_pattern,assignment_a,assignment_b
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,0,876,896,21,3,EXACT_CLOSED,2.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,1,1207,1212,6,20,UNRESOLVED_BUDGET,,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,2,2445,2482,38,20,UNRESOLVED_BUDGET,,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,3,2892,2893,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,4,3128,3130,3,3,EXACT_CLOSED,4.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,5,3679,3734,56,54,UNRESOLVED_BUDGET,,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,6,3779,3781,3,3,EXACT_CLOSED,4.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,7,6361,6361,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,8,6622,6626,5,3,EXACT_CLOSED,2.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,9,6980,6982,3,3,EXACT_CLOSED,4.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,10,7934,7944,11,3,EXACT_CLOSED,2.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,0,36,56,21,3,EXACT_CLOSED,2.0,,,,,,
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,0,31,36,6,20,UNRESOLVED_BUDGET,,,,,,,
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,0,93,130,38,20,UNRESOLVED_BUDGET,,,,,,,
AP2,beijing,Aotizhongxin,24,3,origin_week,20376,168,0,36,37,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP2,beijing,Aotizhongxin,24,3,origin_week,20544,168,0,104,106,3,3,EXACT_CLOSED,4.0,,,,,,
