phase,dataset,series,K,L,scope,origin_start,N,structure_status,components,unreachable_LP_patterns
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,UNRESOLVED_BUDGET,11,0
AP2,beijing,Aotizhongxin,24,3,origin_week,17520,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,17688,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,17856,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,18024,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,18192,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,STRUCTURALLY_EXACT,1,0
AP2,beijing,Aotizhongxin,24,3,origin_week,18528,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,UNRESOLVED_BUDGET,1,0
AP2,beijing,Aotizhongxin,24,3,origin_week,18864,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,19032,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,19200,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,19368,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,19536,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,19704,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,UNRESOLVED_BUDGET,1,0
AP2,beijing,Aotizhongxin,24,3,origin_week,20040,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,20208,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,20376,168,STRUCTURALLY_EXACT,1,0
AP2,beijing,Aotizhongxin,24,3,origin_week,20544,168,STRUCTURALLY_EXACT,1,0
AP2,beijing,Aotizhongxin,24,3,origin_week,20712,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,20880,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,21048,168,UNRESOLVED_BUDGET,1,0
AP2,beijing,Aotizhongxin,24,3,origin_week,21216,168,UNRESOLVED_BUDGET,2,0
AP2,beijing,Aotizhongxin,24,3,origin_week,21384,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,21552,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,21720,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,21888,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,22056,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,22224,168,STRUCTURALLY_EXACT,0,0
AP2,beijing,Aotizhongxin,24,3,origin_week,22392,168,STRUCTURALLY_EXACT,0,0
