model,seed,epoch,lr,training_mse,optimizer_steps,selection_rmse,harm,benefit,correction_l1,objective,log_scope
PRODUCT_MSE,20260915,0,0.0,0.006343893644747128,0,0.0814268562489681,0.0,0.0,0.0,0.006343893644747128,epoch0 fixed parameters
PRODUCT_MSE,20260915,1,0.001,0.006331071849292297,59,,0.0027393553290483664,0.002764539418575049,0.005707301498093438,0.006331071849292297,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,2,0.0009985407886603944,0.00623712518501017,118,,0.0037067491603777858,0.004177701445338933,0.008277117373501428,0.00623712518501017,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,3,0.0009941726181870608,0.00615898584489254,177,,0.004534366401442048,0.005306991370322918,0.010469273383570267,0.00615898584489254,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,4,0.0009869238178417234,0.006104182997612524,236,,0.0050551306564421165,0.005990976270608335,0.011849958436040153,0.006104182997612524,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,5,0.0009768413988762155,0.006063139841328547,295,0.0809693081462805,0.005280538347536979,0.0063613501564905375,0.012547517527279863,0.006063139841328547,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,6,0.000963990749646471,0.006028933533466966,354,,0.005599506290010171,0.00676098591881936,0.013386343747544407,0.006028933533466966,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,7,0.0009484552115439444,0.0059984873354994766,413,,0.005738355478626742,0.006999148869807355,0.013839060701599949,0.0059984873354994766,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,8,0.0009303355384947077,0.005965805886937294,472,,0.00587154951280593,0.0072318632858034086,0.014270680821541312,0.005965805886937294,during-traversal weighted batch means; not frozen FIT objective
PRODUCT_MSE,20260915,9,0.0009097492435315756,0.005947971364669579,531,,0.0060299235698022795,0.007418428117393111,0.01467890973535748,0.005947971364669579,during-traversal weighted batch means; not frozen FIT objective
